# COD (Coastal Observatory Design) Work Breakdown Structure.
# Transcribed from the project organisational chart (2026 revision).
# Loaded by scripts/build_cod_team_lake.py into the cod_wbs table.
#
# parent_code is a soft self-reference; the root elements (1.0 .. 7.0)
# leave it blank. sort_order drives display order in the Team tab and is
# assigned in chart reading order (left-to-right, top-to-bottom).
#
# Rows whose title ends in a person's function rather than a team (e.g.
# "Other Functions") are kept because the chart draws them as WBS boxes.
wbs_code,parent_code,title,sort_order,notes
1.0,,COD Management and Support,100,COD Director / PI
1.2,1.0,COD Deputy Director,110,
1.3,1.0,Project Governance,120,
1.4,1.0,COD Science Leadership Committee,130,Co-chaired advisory committee; members flagged is_leadership_committee
1.5,1.0,Other Functions,140,Sponsored research / accounting / legal / compliance / procurement / HR / permitting / HSE
2.0,,Science Management,200,Chief Scientist
2.1,2.0,Science Management (Integrated Project Teams),210,
2.1.1,2.1,Physical Environment,211,
2.1.3,2.1,Biotic Environment,213,
2.1.4,2.1,Integral Design,214,
2.1.5,2.1,Biodiversity and Collections,215,
2.1.6,2.1,Coastal Informatics,216,
2.1.7,2.1,Built Environment,217,
2.2,2.0,Social Dimension,220,
2.2.1,2.2,Social Dimension Management,221,
2.2.2,2.2,Jurisprudence,222,
2.2.3,2.2,State and Municipal Data Products,223,
2.2.3.1,2.2.3,Critical Infrastructure,224,
2.2.3.2,2.2.3,Fisheries,225,Unfilled on the 2026 chart
2.2.3.3,2.2.3,Recreation,226,Unfilled on the 2026 chart
3.0,,Workforce and Broader Impacts,300,
3.1,3.0,COD Broader Impacts Management,310,
3.2,3.0,Science Engagement,320,
3.3,3.0,STEM Workforce Pipeline,330,
3.3.1,3.3,PNNL Workforce Pipeline,331,
3.3.2,3.3,OBFS Workforce Pipeline,332,
3.3.3,3.3,Clemson Workforce Pipeline,333,
4.0,,Commercialization,400,
4.1,4.0,Commercialization Management,410,
4.2,4.0,Technology and Innovation,420,
4.3,4.0,Data as a Service (DaaS),430,Unfilled on the 2026 chart
4.4,4.0,Market Analysis and Pathway,440,Unfilled on the 2026 chart
5.0,,Cyber Infrastructure,500,CI Manager
5.1,5.0,Cyberinfrastructure Management,510,
5.2,5.0,Data Ingest Monitoring and Storage,520,To be hired
5.3,5.0,AI Data Harmonization,530,To be hired
5.4,5.0,AI Environment,540,To be hired
5.5,5.0,Cyberinfrastructure Design,550,To be hired
5.6,5.0,Data Discovery / Workbench Design,560,
5.7,5.0,Cyberinfrastructure IPT,570,
6.0,,Prototype Infrastructure,600,
6.1,6.0,Engineering Management,610,
6.2,6.0,"Sensor Assemblies, Calibration and Validation",620,Staffed by NEON personnel
6.3,6.0,Field Logistics,630,Unfilled on the 2026 chart
6.4,6.0,Field Deployment and Testing,640,Unfilled on the 2026 chart
6.5,6.0,COD Tech R+D,650,
7.0,,Project Management Office,700,
7.1,7.0,Project Controls,710,Unfilled on the 2026 chart
7.2,7.0,System Engineering,720,
7.3,7.0,Prototype Management,730,Unfilled on the 2026 chart
7.4,7.0,Quality Control,740,Unfilled on the 2026 chart
7.5,7.0,Transition Management Planning,750,Unfilled on the 2026 chart
